entry_time,exit_time,type,regime,strategy,entry_price,exit_price,size,pnl,close_reason,account_balance
2009-04-22 19:00:00,2009-04-23 06:00:00,SHORT,VOLATILE,Cautious Mean Reversion,892.65,894.33,0.11604616059309082,-0.19495754979639998,Regime Change,1001.9807819685954
2009-04-23 10:00:00,2009-04-23 15:30:00,SHORT,VOLATILE,Cautious Mean Reversion,904.83,903.85,0.07005895268206136,0.0686577736284214,Regime Change,1002.0494397422237
2009-04-24 00:00:00,2009-04-24 00:30:00,SHORT,VOLATILE,Cautious Mean Reversion,908.73,910.6,0.20060047172061268,-0.37512288211754663,Stop Loss,1001.6743168601062
2009-04-24 00:30:00,2009-04-24 06:00:00,SHORT,VOLATILE,Cautious Mean Reversion,910.6,910.2,0.15720325527518025,0.06288130211006852,Regime Change,1001.7371981622163
2009-04-26 18:00:00,2009-04-27 08:00:00,SHORT,VOLATILE,Cautious Mean Reversion,916.3,908.38,0.09302184966971284,0.7367330493841219,Target Hit,1002.4739312116004
2009-04-27 08:00:00,2009-04-27 13:30:00,SHORT,TRENDING,Momentum Breakout,908.38,907.53,0.11787420439647874,0.1001930737370096,Regime Change,1002.5741242853375
2009-04-27 13:30:00,2009-04-27 20:00:00,LONG,VOLATILE,Cautious Mean Reversion,907.53,897.85,0.07574999891312276,-0.7332599894790245,Stop Loss,1001.8408642958584
2009-04-27 20:00:00,2009-04-27 21:30:00,SHORT,TRENDING,Momentum Breakout,897.85,900.65,0.12828305252364142,-0.35919254706619014,Stop Loss,1001.4816717487922
2009-04-28 08:00:00,2009-04-28 13:30:00,LONG,VOLATILE,Cautious Mean Reversion,889.0,892.1,0.0765582474285987,0.23733056702865768,Regime Change,1001.7190023158208
2009-04-28 20:00:00,2009-04-28 23:30:00,LONG,VOLATILE,Cautious Mean Reversion,888.8,893.33,0.14319613779559578,0.6486785042140613,Target Hit,1002.3676808200349
2009-04-29 02:00:00,2009-04-29 08:30:00,SHORT,VOLATILE,Cautious Mean Reversion,897.2,900.0,0.14441556362403135,-0.4043635781472812,Stop Loss,1001.9633172418877
2009-04-29 08:30:00,2009-04-29 14:00:00,SHORT,VOLATILE,Cautious Mean Reversion,900.0,894.75,0.10353115178406401,0.5435385468663361,Target Hit,1002.506855788754
2009-04-30 02:30:00,2009-04-30 05:00:00,SHORT,VOLATILE,Cautious Mean Reversion,899.6,888.8,0.1700816634958582,1.8368819657552802,Target Hit,1004.3437377545093
2009-04-30 05:00:00,2009-04-30 13:30:00,SHORT,TRENDING,Momentum Breakout,888.8,891.53,0.09552198397523103,-0.2607750162523824,Regime Change,1004.0829627382569
2009-04-30 20:30:00,2009-05-01 02:00:00,LONG,RANGING,Mean Reversion,884.55,885.45,0.1074248198907801,0.09668233790171185,Regime Change,1004.1796450761586
2009-05-01 04:00:00,2009-05-01 10:30:00,LONG,VOLATILE,Cautious Mean Reversion,881.63,885.33,0.16245194287157058,0.6010721886248186,Target Hit,1004.7807172647834
2009-05-01 12:00:00,2009-05-03 22:00:00,SHORT,VOLATILE,Cautious Mean Reversion,888.98,891.73,0.09048196374867322,-0.24882540030885136,Regime Change,1004.5318918644746
2009-05-04 02:00:00,2009-05-04 05:00:00,LONG,TRENDING,Momentum Breakout,894.33,892.15,0.16323437820475392,-0.35585094448637394,Stop Loss,1004.1760409199882
2009-05-04 09:30:00,2009-05-04 17:00:00,LONG,TRENDING,Momentum Breakout,903.25,903.25,0.07195721834981063,0.0,Regime Change,1004.1760409199882
2009-05-04 22:00:00,2009-05-05 01:00:00,SHORT,RANGING,Mean Reversion,904.93,902.98,0.10045980452531374,0.19589661882435494,Target Hit,1004.3719375388125
2009-05-05 05:30:00,2009-05-05 07:00:00,LONG,VOLATILE,Cautious Mean Reversion,901.98,906.85,0.16321144539380283,0.7948397390678206,Target Hit,1005.1667772778803
